;source;search;name;link;compensation_min;compensation_max;compensation_currency
74;https://hh.ru;Data science;Старший quant-исследователь / Senior Quantitative Researcher;https://hh.ru/vacancy/42995484?query=Data%20science;150000;300000;руб.
75;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42829393?query=Data%20science;;;
76;https://hh.ru;Data science;Аналитик данных (Data Science);https://hh.ru/vacancy/42921777?query=Data%20science;;;
77;https://hh.ru;Data science;Data scientist risk department;https://hh.ru/vacancy/41588305?query=Data%20science;;;
78;https://hh.ru;Data science;Data Analyst;https://hh.ru/vacancy/42562623?query=Data%20science;;;
79;https://hh.ru;Data science;Data miner;https://hh.ru/vacancy/42553674?query=Data%20science;;;
80;https://hh.ru;Data science;Scientific Programmer C++;https://hh.ru/vacancy/42427867?query=Data%20science;250000;;руб.
81;https://hh.ru;Data science;Data Engineer (Удаленно);https://hh.ru/vacancy/42629246?query=Data%20science;;;
82;https://hh.ru;Data science;Data engineer;https://hh.ru/vacancy/40515156?query=Data%20science;;;
83;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/41182061?query=Data%20science;;;
84;https://hh.ru;Data science;Team Lead Data Science;https://hh.ru/vacancy/42936131?query=Data%20science;;;
85;https://hh.ru;Data science;Senior Data Scientist (Recommender Systems);https://hh.ru/vacancy/40374266?query=Data%20science;;;
86;https://hh.ru;Data science;Data Analyst;https://hh.ru/vacancy/42082800?query=Data%20science;150000;;руб.
87;https://hh.ru;Data science;Data engineer - Trade Finance;https://hh.ru/vacancy/42208370?query=Data%20science;220000;;руб.
88;https://hh.ru;Data science;Senior data engineer;https://hh.ru/vacancy/42992573?query=Data%20science;;;
89;https://hh.ru;Data science;Программист-математик;https://hh.ru/vacancy/42627464?query=Data%20science;;;
90;https://hh.ru;Data science;Senior Data scientist (Кампании продаж);https://hh.ru/vacancy/42984130?query=Data%20science;;;
91;https://hh.ru;Data science;Python Developer;https://hh.ru/vacancy/42968833?query=Data%20science;;;
92;https://hh.ru;Data science;Python Back-end Developer;https://hh.ru/vacancy/42663166?query=Data%20science;500;1000;USD
93;https://hh.ru;Data science;Data Engineer / Data Scientist;https://hh.ru/vacancy/42964210?query=Data%20science;;;
94;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42103456?query=Data%20science;;;
95;https://hh.ru;Data science;Data Visualization Developer;https://hh.ru/vacancy/42293263?query=Data%20science;;;
96;https://hh.ru;Data science;Старший специалист\Full Stack Developer в Команду Математического моделирования (Data Science);https://hh.ru/vacancy/42976999?query=Data%20science;;;
97;https://hh.ru;Data science;Senior Java Developer for Big Data product;https://hh.ru/vacancy/42419690?query=Data%20science;;;
98;https://hh.ru;Data science;Cloud Data Scientist (remote);https://hh.ru/vacancy/42934775?query=Data%20science;200000;;руб.
99;https://hh.ru;Data science;AI разработчик;https://hh.ru/vacancy/41686756?query=Data%20science;70000;100000;руб.
100;https://hh.ru;Data science;Data Scientist (Python + R);https://hh.ru/vacancy/42949998?query=Data%20science;;;
101;https://hh.ru;Data science;Research Scientist for Reservoir Engineering Data Analytics;https://hh.ru/vacancy/42858914?query=Data%20science;;;
102;https://hh.ru;Data science;AI Python Developer;https://hh.ru/vacancy/42263044?query=Data%20science;;;
103;https://hh.ru;Data science;Lead Data Scientist;https://hh.ru/vacancy/40705025?query=Data%20science;;;
104;https://hh.ru;Data science;Data Engineer (Cloud Team);https://hh.ru/vacancy/38450281?query=Data%20science;;;
105;https://hh.ru;Data science;Lead Computer Vision Data Scientist;https://hh.ru/vacancy/42046419?query=Data%20science;;;
106;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/41639471?query=Data%20science;;;
107;https://hh.ru;Data science;Data Science Specialist;https://hh.ru/vacancy/42394415?query=Data%20science;;;
108;https://hh.ru;Data science;Специалист по машинному обучению (Data Scientist) в Казань;https://hh.ru/vacancy/42221594?query=Data%20science;;;
109;https://hh.ru;Data science;Data Analyst (Quantitative Analysis);https://hh.ru/vacancy/42232393?query=Data%20science;;;
110;https://hh.ru;Data science;Преподаватель Data science;https://hh.ru/vacancy/41096427?query=Data%20science;;;
111;https://hh.ru;Data science;Senior Data Scientist;https://hh.ru/vacancy/42559370?query=Data%20science;;;
112;https://hh.ru;Data science;Junior/Middle Python Developer;https://hh.ru/vacancy/42824562?query=Data%20science;;;
113;https://hh.ru;Data science;Специалист по машинному обучению (Data Scientist) в Казань;https://hh.ru/vacancy/42221586?query=Data%20science;;;
114;https://hh.ru;Data science;Data scientist (Predictive Analytics);https://hh.ru/vacancy/42676626?query=Data%20science;;;
115;https://hh.ru;Data science;Программист-разработчик (AI, Big Data);https://hh.ru/vacancy/41840255?query=Data%20science;2083;4416;USD
116;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42781889?query=Data%20science;;;
117;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42905242?query=Data%20science;;;
118;https://hh.ru;Data science;Data scientist (команда ИСУ);https://hh.ru/vacancy/42076058?query=Data%20science;;;
119;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42936157?query=Data%20science;;;
120;https://hh.ru;Data science;Математик;https://hh.ru/vacancy/42992505?query=Data%20science;;;
121;https://hh.ru;Data science;Аналитик SQL;https://hh.ru/vacancy/42442270?query=Data%20science;;;
122;https://hh.ru;Data science;Специалист по машинному обучению (Data Scientist) в Казань;https://hh.ru/vacancy/42221585?query=Data%20science;;;
123;https://hh.ru;Data science;Специалист по машинному обучению (Data Scientist) в Казань;https://hh.ru/vacancy/42221589?query=Data%20science;;;
124;https://hh.ru;Data science;Специалист по машинному обучению (Data Scientist) в Казань;https://hh.ru/vacancy/42221588?query=Data%20science;;;
125;https://hh.ru;Data science;Data Quality Engineer;https://hh.ru/vacancy/42960119?query=Data%20science;;;
126;https://hh.ru;Data science;Data scientist / ML engineer;https://hh.ru/vacancy/42390574?query=Data%20science;;;
127;https://hh.ru;Data science;Quantitative Researcher;https://hh.ru/vacancy/42629377?query=Data%20science;;;
128;https://hh.ru;Data science;Ведущий бизнес-аналитик по проектам Data Science;https://hh.ru/vacancy/42864439?query=Data%20science;;;
129;https://hh.ru;Data science;Quantitative Researcher;https://hh.ru/vacancy/42629378?query=Data%20science;;;
130;https://hh.ru;Data science;Senior Data Engineer;https://hh.ru/vacancy/37637853?query=Data%20science;;;
131;https://hh.ru;Data science;Python Developer;https://hh.ru/vacancy/40384889?query=Data%20science;;;
132;https://hh.ru;Data science;Lead Research Engineer;https://hh.ru/vacancy/42351353?query=Data%20science;;;
133;https://hh.ru;Data science;Data Scientist в команду CRM;https://hh.ru/vacancy/42869180?query=Data%20science;;;
134;https://hh.ru;Data science;Senior Data Scientist;https://hh.ru/vacancy/42727177?query=Data%20science;;;
135;https://hh.ru;Data science;Machine Learning engineer (with NLP expertise);https://hh.ru/vacancy/42360761?query=Data%20science;;;
136;https://hh.ru;Data science;Marketing Data Analyst;https://hh.ru/vacancy/42426069?query=Data%20science;;;
137;https://hh.ru;Data science;Data analyst;https://hh.ru/vacancy/42879085?query=Data%20science;;;
138;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42885447?query=Data%20science;;;
139;https://hh.ru;Data science;Field Application Scientist;https://hh.ru/vacancy/42815555?query=Data%20science;;;
140;https://hh.ru;Data science;Python Developer;https://hh.ru/vacancy/42843371?query=Data%20science;2000;;EUR
141;https://hh.ru;Data science;3D Machine learning engineer;https://hh.ru/vacancy/42360755?query=Data%20science;;;
142;https://hh.ru;Data science;Data Engineer (Technology Research);https://hh.ru/vacancy/40800832?query=Data%20science;;;
143;https://hh.ru;Data science;Data scientist;https://hh.ru/vacancy/42313851?query=Data%20science;;;
144;https://hh.ru;Data science;Associate Statistical Programmer - Kiev or St Petersburg;https://hh.ru/vacancy/42962537?query=Data%20science;;;
145;https://hh.ru;Data science;Системный аналитик (Data Science/Кибербезопасность);https://hh.ru/vacancy/42896474?query=Data%20science;;;
146;https://hh.ru;Data science;Senior Data Scientist;https://hh.ru/vacancy/42599810?query=Data%20science;;;
147;https://hh.ru;Data science;Data Analyst Дивизион `Массовая персонализация`;https://hh.ru/vacancy/42910802?query=Data%20science;;;
148;https://hh.ru;Data science;Data Analyst;https://hh.ru/vacancy/42968740?query=Data%20science;;;
149;https://hh.ru;Data science;Аналитик - разработчик SQL;https://hh.ru/vacancy/42797933?query=Data%20science;;;
150;https://hh.ru;Data science;C++ Engineer (Data Engineering);https://hh.ru/vacancy/40453188?query=Data%20science;;;
151;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42991398?query=Data%20science;;;
152;https://hh.ru;Data science;Game Data Analyst (Flime by Gismart);https://hh.ru/vacancy/42694993?query=Data%20science;;;
153;https://hh.ru;Data science;Data Scientist / Machine Learning Engineer;https://hh.ru/vacancy/42896493?query=Data%20science;;;
154;https://hh.ru;Data science;Big Data research project Specialist;https://hh.ru/vacancy/42305761?query=Data%20science;;;
155;https://hh.ru;Data science;Quantitative Analyst;https://hh.ru/vacancy/39808437?query=Data%20science;;;
156;https://hh.ru;Data science;Senior Big Data Engineer;https://hh.ru/vacancy/42360807?query=Data%20science;;;
157;https://hh.ru;Data science;Data Analyst;https://hh.ru/vacancy/42394986?query=Data%20science;;;
158;https://hh.ru;Data science;Data Science инженер;https://hh.ru/vacancy/42628054?query=Data%20science;;;
159;https://hh.ru;Data science;Специалист по машинному обучению (Data Scientist) в Казань;https://hh.ru/vacancy/42221587?query=Data%20science;;;
160;https://hh.ru;Data science;Junior Business Analyst;https://hh.ru/vacancy/42385222?query=Data%20science;;;
161;https://hh.ru;Data science;Senior / Lead ML Engineer (Recommender Systems);https://hh.ru/vacancy/42360772?query=Data%20science;;;
162;https://hh.ru;Data science;Менеджер по сопровождению и поддержке продуктов Data Science;https://hh.ru/vacancy/39140198?query=Data%20science;;;
163;https://hh.ru;Data science;Data scientist & analyst;https://hh.ru/vacancy/42315132?query=Data%20science;;;
164;https://hh.ru;Data science;Senior Power BI Developer;https://hh.ru/vacancy/42678522?query=Data%20science;2500;4000;USD
165;https://hh.ru;Data science;Data Analyst/Supplier Services;https://hh.ru/vacancy/42248232?query=Data%20science;;;
166;https://hh.ru;Data science;Data sсientist (Реком. системы);https://hh.ru/vacancy/40704908?query=Data%20science;;;
167;https://hh.ru;Data science;AI/ML Team Lead;https://hh.ru/vacancy/42442313?query=Data%20science;200000;;руб.
168;https://hh.ru;Data science;Специалист по машинному обучению (Data Scientist) в Казань;https://hh.ru/vacancy/42221590?query=Data%20science;;;
169;https://hh.ru;Data science;Data Analytics Consultant;https://hh.ru/vacancy/42887670?query=Data%20science;;;
170;https://hh.ru;Data science;Big Data Engineer (PySpark);https://hh.ru/vacancy/38570929?query=Data%20science;;;
171;https://hh.ru;Data science;Senior Computer Vision Engineer;https://hh.ru/vacancy/42717527?query=Data%20science;;;
172;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42563680?query=Data%20science;;;
173;https://hh.ru;Data science;Product Analyst;https://hh.ru/vacancy/42523408?query=Data%20science;;;
174;https://hh.ru;Data science;Программист Python (прикладная математика);https://hh.ru/vacancy/41781473?query=Data%20science;30000;50000;руб.
175;https://hh.ru;Data science;Big Data Advanced Analytics Expert;https://hh.ru/vacancy/41038645?query=Data%20science;;;
176;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42691656?query=Data%20science;;;
177;https://hh.ru;Data science;Математик;https://hh.ru/vacancy/42999280?query=Data%20science;;;
178;https://hh.ru;Data science;Старший Data Scientist;https://hh.ru/vacancy/42864435?query=Data%20science;;;
179;https://hh.ru;Data science;Reporting Analyst;https://hh.ru/vacancy/42560563?query=Data%20science;;;
180;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42665782?query=Data%20science;;;
181;https://hh.ru;Data science;Field Application Scientist;https://hh.ru/vacancy/42652449?query=Data%20science;;;
182;https://hh.ru;Data science;Principal Data Engineer (Берлин / Брауншвайг);https://hh.ru/vacancy/42308049?query=Data%20science;;;
183;https://hh.ru;Data science;​​Junior IT recruiter;https://hh.ru/vacancy/42488039?query=Data%20science;;;
184;https://hh.ru;Data science;Data Scientist / ML Engineer for LENOVO;https://hh.ru/vacancy/42596074?query=Data%20science;;;
185;https://hh.ru;Data science;Middle / Senior Data Scientist;https://hh.ru/vacancy/42279125?query=Data%20science;;;
186;https://hh.ru;Data science;Data Engineer, IEO (Recent college graduate);https://hh.ru/vacancy/42751601?query=Data%20science;;;
187;https://hh.ru;Data science;Solution Engineer;https://hh.ru/vacancy/42715601?query=Data%20science;;;
188;https://hh.ru;Data science;Talent Sourcer;https://hh.ru/vacancy/42496010?query=Data%20science;;;
189;https://hh.ru;Data science;Analyst;https://hh.ru/vacancy/39659675?query=Data%20science;80000;140000;руб.
190;https://hh.ru;Data science;Data Scientist;https://hh.ru/vacancy/42854867?query=Data%20science;;;
191;https://hh.ru;Data science;Программист / Data Science Разработчик;https://hh.ru/vacancy/42547761?query=Data%20science;;;
192;https://hh.ru;Data science;Senior Data Scientist;https://hh.ru/vacancy/42088120?query=Data%20science;;;
193;https://hh.ru;Data science;Machine Learning Engineer;https://hh.ru/vacancy/42665747?query=Data%20science;;;
194;https://hh.ru;Data science;Senior Data Scientist;https://hh.ru/vacancy/42088119?query=Data%20science;;;
195;https://hh.ru;Data science;Research Scientist for Geology and Geoscience data Analytics;https://hh.ru/vacancy/42858918?query=Data%20science;;;
196;https://hh.ru;Data science;Python разработчик SberDevices;https://hh.ru/vacancy/41019313?query=Data%20science;;;
197;https://hh.ru;Data science;Data Engineer;https://hh.ru/vacancy/42629190?query=Data%20science;;;
198;https://hh.ru;Data science;Senior Software Engineer;https://hh.ru/vacancy/42360800?query=Data%20science;;;
199;https://hh.ru;Data science;Data science инженер;https://hh.ru/vacancy/42218057?query=Data%20science;180000;250000;руб.
200;https://hh.ru;Data science;Senior DevOps engineer (Data Science project);https://hh.ru/vacancy/42496004?query=Data%20science;;;
